SIMC_id;powierzchnia_terenow_uprawnych;powierzchnia_terenow_zalesionych;stosunek_powierzchni_upraw;stosunek_powierzchni_lasow;budynekGospodarstwaRolnego;budynekZabytkowy;budynkiBiurowe;budynkiGarazy;budynkiHandlowoUslugowe;budynkiHoteli;budynkiKultuReligijnego;budynkiKulturyFizycznej;budynkiLacznosciDworcowITerminali;budynkiMieszkalneJednorodzinne;budynkiMuzeowIBibliotek;budynkiODwochMieszkaniach;budynkiOTrzechIWiecejMieszkaniach;budynkiPrzemyslowe;budynkiSzkolIInstytucjiBadawczych;budynkiSzpitaliIZakladowOpiekiMedycznej;budynkiZakwaterowaniaTurystycznegoPozostale;budynkiZbiorowegoZamieszkania;ogolnodostepneObiektyKulturalne;pozostaleBudynkiNiemieszkalne;zbiornikSilosIBudynkiMagazynowe
518518;55162857.61;11427852.38;3.1935098668052966;0.6615857283888886;214;0;1;0;1;0;0;0;0;91;0;0;0;0;0;0;0;0;1;0;0
518524;23942790.11;1376654.1600000001;12.271897499957356;0.7056052643319061;21;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0
518530;17089447.52;53261904.61;2.816598668496872;8.778365095218328;23;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0
518547;72582809.81;7225699.8;7.177013049804315;0.7144796666637674;129;0;0;0;3;0;0;0;0;56;0;0;0;0;0;0;0;0;1;0;0
518560;24932986.55;3844566.21;6.49848977601667;1.0020409772733045;19;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0
753550;35825258.54;16207812.249999998;4.298678742918604;1.9447780931015364;252;0;7;16;18;1;4;0;0;160;0;0;24;5;1;1;0;1;1;2;2
753567;12002665.450000001;1389286.02;19.600265985129514;2.2686940359086623;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0
753573;18926947.09;981659.2999999999;5.828918341627167;0.3023209116499351;15;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;2
753580;27159629.53;543526.9;5.65448089079592;0.11315921913768258;56;0;0;0;1;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0
753610;25768046.16;30601295.279999997;2.1113481735935298;2.5073685640675016;157;0;1;0;0;0;1;0;0;63;0;0;0;0;0;0;0;0;0;0;0
753640;12591065.190000001;16105051.05;7.3137677785325215;9.35493555657711;4;0;0;0;0;0;0;0;0;8;0;0;0;1;0;0;0;0;0;1;1
